Model: boxes_aligned
Mesh: TriangleMesh with 392648 points and 588972 triangles.
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-0.89  0.36  0.  ]
Goal Point: [ 0.59 -0.57  0.  ]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.1 seconds
  Number of Paths: 100
  Average Path Length: 2.1988
  Shortest Path Length: 1.89
  Longest Path Length: 2.99
  Path Length Std Dev: 0.19098837660967752
  Average Time Per Path: 0.10869999999999999 seconds
  Time Per Path Std Dev: 0.04408298991674678 seconds

  Paths:
    Path 1: Length = 2.28 units, Duration = 0.11 seconds
    Path 2: Length = 2.43 units, Duration = 0.1 seconds
    Path 3: Length = 2.43 units, Duration = 0.11 seconds
    Path 4: Length = 2.11 units, Duration = 0.1 seconds
    Path 5: Length = 2.36 units, Duration = 0.1 seconds
    Path 6: Length = 2.38 units, Duration = 0.1 seconds
    Path 7: Length = 1.95 units, Duration = 0.1 seconds
    Path 8: Length = 2.41 units, Duration = 0.1 seconds
    Path 9: Length = 1.89 units, Duration = 0.11 seconds
    Path 10: Length = 1.92 units, Duration = 0.1 seconds
    Path 11: Length = 2.11 units, Duration = 0.1 seconds
    Path 12: Length = 2.08 units, Duration = 0.11 seconds
    Path 13: Length = 2.29 units, Duration = 0.11 seconds
    Path 14: Length = 2.03 units, Duration = 0.1 seconds
    Path 15: Length = 2.09 units, Duration = 0.1 seconds
    Path 16: Length = 2.3 units, Duration = 0.11 seconds
    Path 17: Length = 2.17 units, Duration = 0.1 seconds
    Path 18: Length = 2.27 units, Duration = 0.11 seconds
    Path 19: Length = 2.16 units, Duration = 0.11 seconds
    Path 20: Length = 2.08 units, Duration = 0.11 seconds
    Path 21: Length = 2.16 units, Duration = 0.1 seconds
    Path 22: Length = 2.16 units, Duration = 0.1 seconds
    Path 23: Length = 1.96 units, Duration = 0.1 seconds
    Path 24: Length = 2.35 units, Duration = 0.11 seconds
    Path 25: Length = 2.36 units, Duration = 0.1 seconds
    Path 26: Length = 2.29 units, Duration = 0.1 seconds
    Path 27: Length = 2.16 units, Duration = 0.1 seconds
    Path 28: Length = 2.07 units, Duration = 0.1 seconds
    Path 29: Length = 2.35 units, Duration = 0.11 seconds
    Path 30: Length = 2.16 units, Duration = 0.1 seconds
    Path 31: Length = 2.15 units, Duration = 0.1 seconds
    Path 32: Length = 2.07 units, Duration = 0.1 seconds
    Path 33: Length = 2.13 units, Duration = 0.1 seconds
    Path 34: Length = 2.01 units, Duration = 0.1 seconds
    Path 35: Length = 1.95 units, Duration = 0.1 seconds
    Path 36: Length = 2.03 units, Duration = 0.1 seconds
    Path 37: Length = 2.16 units, Duration = 0.1 seconds
    Path 38: Length = 1.92 units, Duration = 0.1 seconds
    Path 39: Length = 2.3 units, Duration = 0.11 seconds
    Path 40: Length = 2.27 units, Duration = 0.1 seconds
    Path 41: Length = 2.24 units, Duration = 0.11 seconds
    Path 42: Length = 2.05 units, Duration = 0.11 seconds
    Path 43: Length = 2.32 units, Duration = 0.1 seconds
    Path 44: Length = 2.31 units, Duration = 0.11 seconds
    Path 45: Length = 2.0 units, Duration = 0.11 seconds
    Path 46: Length = 2.35 units, Duration = 0.1 seconds
    Path 47: Length = 2.05 units, Duration = 0.1 seconds
    Path 48: Length = 2.02 units, Duration = 0.1 seconds
    Path 49: Length = 2.99 units, Duration = 0.35 seconds
    Path 50: Length = 2.35 units, Duration = 0.47 seconds
    Path 51: Length = 2.35 units, Duration = 0.11 seconds
    Path 52: Length = 2.23 units, Duration = 0.11 seconds
    Path 53: Length = 2.16 units, Duration = 0.11 seconds
    Path 54: Length = 1.95 units, Duration = 0.1 seconds
