Model: stonehenge
Mesh: TriangleMesh with 10995 points and 18402 triangles, and textures of size (4096, 4096) (2048, 2048) (1024, 1024) (2048, 2048) (1024, 1024) (2048, 2048) (2048, 2048) (2048, 2048) 
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-1.24  0.31  0.08]
Goal Point: [ 0.46 -0.79  0.08]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.64 seconds
  Number of Paths: 100
  Average Path Length: 2.2478
  Shortest Path Length: 2.08
  Longest Path Length: 2.75
  Path Length Std Dev: 0.15726779708509941
  Average Time Per Path: 0.1128 seconds
  Time Per Path Std Dev: 0.08858984140407974 seconds

  Paths:
    Path 1: Length = 2.11 units, Duration = 0.1 seconds
    Path 2: Length = 2.21 units, Duration = 0.1 seconds
    Path 3: Length = 2.6 units, Duration = 0.1 seconds
    Path 4: Length = 2.09 units, Duration = 0.1 seconds
    Path 5: Length = 2.31 units, Duration = 0.1 seconds
    Path 6: Length = 2.11 units, Duration = 0.1 seconds
    Path 7: Length = 2.17 units, Duration = 0.1 seconds
    Path 8: Length = 2.33 units, Duration = 0.1 seconds
    Path 9: Length = 2.43 units, Duration = 0.1 seconds
    Path 10: Length = 2.09 units, Duration = 0.1 seconds
    Path 11: Length = 2.2 units, Duration = 0.1 seconds
    Path 12: Length = 2.43 units, Duration = 0.1 seconds
    Path 13: Length = 2.19 units, Duration = 0.1 seconds
    Path 14: Length = 2.23 units, Duration = 0.1 seconds
    Path 15: Length = 2.18 units, Duration = 0.1 seconds
    Path 16: Length = 2.12 units, Duration = 0.1 seconds
    Path 17: Length = 2.25 units, Duration = 0.1 seconds
    Path 18: Length = 2.19 units, Duration = 0.1 seconds
    Path 19: Length = 2.24 units, Duration = 0.1 seconds
    Path 20: Length = 2.41 units, Duration = 0.1 seconds
    Path 21: Length = 2.23 units, Duration = 0.1 seconds
    Path 22: Length = 2.22 units, Duration = 0.11 seconds
    Path 23: Length = 2.21 units, Duration = 0.1 seconds
    Path 24: Length = 2.08 units, Duration = 0.1 seconds
    Path 25: Length = 2.36 units, Duration = 0.1 seconds
    Path 26: Length = 2.34 units, Duration = 0.1 seconds
    Path 27: Length = 2.38 units, Duration = 0.1 seconds
    Path 28: Length = 2.08 units, Duration = 0.1 seconds
    Path 29: Length = 2.38 units, Duration = 0.1 seconds
    Path 30: Length = 2.3 units, Duration = 0.1 seconds
    Path 31: Length = 2.27 units, Duration = 0.1 seconds
    Path 32: Length = 2.13 units, Duration = 0.1 seconds
    Path 33: Length = 2.22 units, Duration = 0.1 seconds
    Path 34: Length = 2.19 units, Duration = 0.1 seconds
    Path 35: Length = 2.1 units, Duration = 0.1 seconds
    Path 36: Length = 2.15 units, Duration = 0.1 seconds
    Path 37: Length = 2.26 units, Duration = 0.1 seconds
    Path 38: Length = 2.18 units, Duration = 0.1 seconds
    Path 39: Length = 2.31 units, Duration = 0.1 seconds
    Path 40: Length = 2.09 units, Duration = 0.1 seconds
    Path 41: Length = 2.09 units, Duration = 0.1 seconds
    Path 42: Length = 2.25 units, Duration = 0.1 seconds
    Path 43: Length = 2.2 units, Duration = 0.1 seconds
    Path 44: Length = 2.2 units, Duration = 0.1 seconds
    Path 45: Length = 2.1 units, Duration = 0.1 seconds
    Path 46: Length = 2.2 units, Duration = 0.1 seconds
    Path 47: Length = 2.22 units, Duration = 0.1 seconds
    Path 48: Length = 2.1 units, Duration = 0.1 seconds
    Path 49: Length = 2.14 units, Duration = 0.1 seconds
    Path 50: Length = 2.11 units, Duration = 0.1 seconds
    Path 51: Length = 2.15 units, Duration = 0.1 seconds
    Path 52: Length = 2.12 units, Duration = 0.11 seconds
    Path 53: Length = 2.08 units, Duration = 0.1 seconds
    Path 54: Length = 2.66 units, Duration = 0.1 seconds
    Path 55: Length = 2.34 units, Duration = 0.1 seconds
